
================================================================================
2020-10-22, 17:38:59
001  00118 |Loss: 2.876 | Acc: 81.500% 
001  00119 |Loss: 2.873 | Acc: 81.588% 
001  00120 |Loss: 2.870 | Acc: 81.700% 
001  00121 |Loss: 2.866 | Acc: 81.793% 
001  00122 |Loss: 2.863 | Acc: 81.918% 
001  00123 |Loss: 2.860 | Acc: 82.016% 
001  00124 |Loss: 2.857 | Acc: 82.097% 
001  00125 |Loss: 2.855 | Acc: 82.168% 
001  00126 |Loss: 2.853 | Acc: 82.254% 
001  00127 |Loss: 2.850 | Acc: 82.315% 
001  00128 |Loss: 2.847 | Acc: 82.406% 
001  00129 |Loss: 2.844 | Acc: 82.519% 
001  00130 |Loss: 2.841 | Acc: 82.592% 
001  00131 |Loss: 2.839 | Acc: 82.687% 
001  00132 |Loss: 2.835 | Acc: 82.803% 
001  00133 |Loss: 2.833 | Acc: 82.902% 
001  00134 |Loss: 2.830 | Acc: 82.985% 
001  00135 |Loss: 2.828 | Acc: 83.067% 
001  00136 |Loss: 2.825 | Acc: 83.154% 
001  00137 |Loss: 2.822 | Acc: 83.255% 
001  00138 |Loss: 2.819 | Acc: 83.341% 
001  00139 |Loss: 2.817 | Acc: 83.432% 
001  00140 |Loss: 2.814 | Acc: 83.521% 
001  00141 |Loss: 2.811 | Acc: 83.624% 
001  00142 |Loss: 2.808 | Acc: 83.725% 
001  00143 |Loss: 2.805 | Acc: 83.839% 
001  00144 |Loss: 2.804 | Acc: 83.861% 
001  00145 |Loss: 2.801 | Acc: 83.945% 
001  00146 |Loss: 2.798 | Acc: 84.041% 
001  00147 |Loss: 2.796 | Acc: 84.122% 
001  00148 |Loss: 2.793 | Acc: 84.176% 
001  00149 |Loss: 2.791 | Acc: 84.248% 
001  00150 |Loss: 2.789 | Acc: 84.327% 
001  00151 |Loss: 2.786 | Acc: 84.417% 
001  00152 |Loss: 2.784 | Acc: 84.493% 
001  00153 |Loss: 2.781 | Acc: 84.549% 
001  00154 |Loss: 2.779 | Acc: 84.643% 
001  00155 |Loss: 2.776 | Acc: 84.729% 
001  00156 |Loss: 2.774 | Acc: 84.821% 
001  00157 |Loss: 2.771 | Acc: 84.911% 
001  00158 |Loss: 2.769 | Acc: 84.962% 
001  00159 |Loss: 2.767 | Acc: 85.044% 
001  00160 |Loss: 2.765 | Acc: 85.100% 
001  00161 |Loss: 2.762 | Acc: 85.174% 
001  00162 |Loss: 2.760 | Acc: 85.222% 
001  00163 |Loss: 2.758 | Acc: 85.282% 
001  00164 |Loss: 2.756 | Acc: 85.348% 
001  00165 |Loss: 2.754 | Acc: 85.418% 
001  00166 |Loss: 2.752 | Acc: 85.500% 
001  00167 |Loss: 2.750 | Acc: 85.557% 
001  00168 |Loss: 2.748 | Acc: 85.613% 
001  00169 |Loss: 2.746 | Acc: 85.686% 
001  00170 |Loss: 2.744 | Acc: 85.729% 
001  00171 |Loss: 2.743 | Acc: 85.784% 
001  00172 |Loss: 2.740 | Acc: 85.866% 
001  00173 |Loss: 2.738 | Acc: 85.931% 
001  00174 |Loss: 2.736 | Acc: 85.983% 
001  00175 |Loss: 2.734 | Acc: 86.046% 
001  00176 |Loss: 2.733 | Acc: 86.102% 
001  00177 |Loss: 2.731 | Acc: 86.147% 
001  00178 |Loss: 2.730 | Acc: 86.185% 
001  00179 |Loss: 2.728 | Acc: 86.223% 
001  00180 |Loss: 2.726 | Acc: 86.289% 
001  00181 |Loss: 2.724 | Acc: 86.348% 

================================================================================
2020-10-22, 17:40:49
001  00001 |Loss: 3.811 | Acc: 4.000% 
001  00002 |Loss: 3.811 | Acc: 6.000% 
001  00003 |Loss: 3.803 | Acc: 9.000% 
001  00004 |Loss: 3.802 | Acc: 8.500% 
001  00005 |Loss: 3.799 | Acc: 7.800% 
001  00006 |Loss: 3.793 | Acc: 12.500% 
001  00007 |Loss: 3.787 | Acc: 19.000% 
001  00008 |Loss: 3.778 | Acc: 25.125% 
001  00009 |Loss: 3.771 | Acc: 27.778% 
001  00010 |Loss: 3.762 | Acc: 30.900% 
001  00011 |Loss: 3.750 | Acc: 33.545% 
001  00012 |Loss: 3.737 | Acc: 35.750% 
001  00013 |Loss: 3.724 | Acc: 37.000% 
001  00014 |Loss: 3.707 | Acc: 39.000% 
001  00015 |Loss: 3.690 | Acc: 40.800% 
001  00016 |Loss: 3.674 | Acc: 42.250% 
001  00017 |Loss: 3.657 | Acc: 43.765% 
001  00018 |Loss: 3.641 | Acc: 44.833% 
001  00019 |Loss: 3.622 | Acc: 46.211% 
001  00020 |Loss: 3.604 | Acc: 47.150% 
001  00021 |Loss: 3.583 | Acc: 48.333% 
001  00022 |Loss: 3.570 | Acc: 48.909% 
001  00023 |Loss: 3.550 | Acc: 49.913% 
001  00024 |Loss: 3.532 | Acc: 50.833% 
001  00025 |Loss: 3.515 | Acc: 51.800% 
001  00026 |Loss: 3.500 | Acc: 52.692% 
001  00027 |Loss: 3.486 | Acc: 53.519% 
001  00028 |Loss: 3.474 | Acc: 54.357% 
